,Unnamed: 0,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
10,6,VN,DAI HUNG,,,,,, 8 28 59 N ,108 40 59 E,8.466666666666667,108.66666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Vung Tau Con Son Airport
11,7,VN,DANANG, Vietnam National Shipping Lines ,26 Bach Dang St. Da Nang Vietnam, 84 511 821 114 , 84 511 822 565 , cangdn@dng.vnn.vn , 16 7 34 N ,108 14 19 E,16.116666666666667,108.23333333333332, Seaport , Medium ,Yes,,,No,Yes, Small , Fair , Over 500 feet in length , River Natural ,Yes,Yes,No,Yes,No,21 - 25 ft,16 - 20 ft,2.0,31 - 35 ft,21 - 25 ft,Yes,,Yes,No,Yes,Yes,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes, Limited ,,Up to 656 ft,Da Nang International Airport
12,9,VN,DONG NAI PORT,,,,,, 10 54 4 N ,106 50 28 E,10.9,106.83333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Bien Hoa Aero Airport
13,10,VN,DONG THAP,,,,,, 10 22 43 N ,107 7 31 E,10.366666666666667,107.11666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Tan Son Nhat International Airport
14,26,VN,DUONG DONG,,,,,,10 13 N,103 58 E,10.216666666666667,103.96666666666668,,,Yes,161.0,93301.0,No,,Very Small,Fair,over 500 feet,River Natural,,,Yes,,Yes,41 - 45 ft,,0.0,36 - 40 ft,31 - 35 ft,,,,,,,,,,,,,,,,,Yes,,,,,Emergency only,,,Kien Giang Phu Quoc Airport
15,34,VN,HAI PHONG,,,,,,20 55 N,106 41 E,20.916666666666668,106.68333333333334,,,Yes,161.0,93032.0,No,Yes,Small,Good,less than 500 feet,River Natural,Yes,Yes,Yes,Yes,Yes,21 - 25 ft,31 - 35 ft,4.0,36 - 40 ft,11 - 15 ft,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Moderate,Up to 200 tons,657 ft to 984 ft,Hai Phong Cat Bi International Airport
16,11,VN,HAIPHONG,,,,,, 20 54 32 N ,106 44 25 E,20.9,106.73333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Hai Phong Cat Bi International Airport
17,12,VN,HANOI,,,,,, 21 1 32 N ,105 51 35 E,21.016666666666666,105.85,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Hanoi Gialam Airport
18,13,VN,HO CHI MINH CITY, 3 Nguyen Tat Thanh street ,district 4 Ho Chi Minh City Vietnam,,, csg@hcm.vnn.vn , 10 49 34 N ,106 45 10 E,10.816666666666665,106.75, River Port , Medium ,Yes,,,Yes,Yes, Medium , Good , Over 500 feet in length , River Natural ,Yes,Yes,Yes,Yes,No,21 - 25 ft,21 - 25 ft,4.0,26 - 30 ft,31 - 35 ft,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Limited ,"201 to 1,000 tons",Up to 656 ft,Tan Son Nhat International Airport
19,14,VN,HON CHONG,,,,,, 10 22 24 N ,104 30 9 E,10.366666666666667,104.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Kien Giang Phu Quoc Airport
20,35,VN,HON GAI,,,,,,20 57 N,107 4 E,20.95,107.06666666666666,,,Yes,161.0,,No,Yes,Very Small,Fair,less than 500 feet,Open Roadstead,Yes,,Yes,,No,26 - 30 ft,36 - 40 ft,2.0,51 - 55 ft,31 - 35 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Limited,Up to 200 tons,,Van Don International Airport
21,15,VN,HON GAY,,,,,, 20 56 60 N ,107 5 60 E,20.933333333333334,107.08333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Van Don International Airport
22,16,VN,LE MON,,,,,, 19 47 59 N ,105 56 0 E,19.783333333333328,105.93333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Tho Xuan Airport
23,32,VN,MUI VUNG TAU,,,,,,10 19 N,107 4 E,10.316666666666666,107.06666666666666,,,Yes,161.0,93360.0,,,Very Small,Fair,less than 500 feet,Coastal Natural,,,,,,,16 - 20 ft,0.0,,,Yes,,Yes,,Yes,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,,,Tan Son Nhat International Airport
24,17,VN,MY THO,,,,,, 10 19 59 N ,105 28 59 E,10.316666666666666,105.46666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Can Tho International Airport
25,18,VN,NAM CAN,,,,,, 8 46 14 N ,105 16 10 E,8.766666666666667,105.26666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Ca Mau Airport
26,19,VN,NGHE TINH,,,,,, 18 38 60 N ,105 42 0 E,18.633333333333333,105.7,,,Yes,161.0,93580.0,No,Yes,Small,Fair,,River Natural,,,Yes,No,Yes,11 - 15 ft,11 - 15 ft,2.0,26 - 30 ft,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,,,,,,Yes,,Yes,,Limited,,Up to 656 ft,Vinh Airport
27,20,VN,NHA TRANG, Vietnam Maritime Administration ,"05 Tran Phu Cau Da Vinh Nguyen Vinh Nguyen, Khanh Hoa Vietnam", 84 058.590019 , 84 058. 590017 , nhatrangport@dng.vnn.vn , 12 12 38 N ,109 12 10 E,12.2,109.2, Harbor , Small ,Yes,161.0,93442.0,No,Yes, Very Small , Fair , Over 500 feet in length , River Natural ,Yes,Yes,No,No,Yes,41 - 45 ft,26 - 30 ft,2.0,46 - 50 ft,31 - 35 ft,Yes,No,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes, Limited ,,985 ft and over,Nhatrang Airport
28,21,VN,PHU MY,,,,,, 10 34 59 N ,107 1 59 E,10.566666666666666,107.01666666666668,,,Yes,161.0,93030.0,,,Very Small,Fair,less than 500 feet,River Natural,,,,Yes,,76 - over ft,21 - 25 ft,4.0,,46 - 51 ft,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,Tan Son Nhat International Airport
29,30,VN,QUI NHON,,,,,,13 46 N,109 14 E,13.766666666666667,109.23333333333332,,,Yes,161.0,,No,Yes,Very Small,Fair,less than 500 feet,Coastal Natural,Yes,Yes,Yes,No,Yes,36 - 40 ft,21 - 25 ft,2.0,36 - 40 ft,26 - 30 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,Limited,Up to 200 tons,657 ft to 984 ft,Phu Cat Airport
30,22,VN,QUY NHON,,,,,, 13 46 9 N ,109 13 52 E,13.766666666666667,109.21666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Phu Cat Airport
31,23,VN,TAN CANG,,,,,, 10 45 3 N ,106 43 5 E,10.75,106.71666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Tan Son Nhat International Airport
32,28,VN,THANH HO CHI MINH,,,,,,10 46 N,106 43 E,10.766666666666667,106.71666666666668,,,Yes,161.0,93385.0,Yes,Yes,Medium,Excellent,over 500 feet,River Natural,Yes,Yes,Yes,Yes,No,31 - 35 ft,46 - 51 ft,4.0,61 - 65 ft,46 - 51 ft,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Limited,"201 to 1,000 tons",Up to 656 ft,Tan Son Nhat International Airport
33,33,VN,THANH HOA,,,,,,10 49 N,106 46 E,10.816666666666665,106.76666666666668,,,Yes,161.0,93600.0,,,Very Small,Fair,,Coastal Natural,,,,,,11 - 15 ft,,2.0,21 - 25 ft,,Yes,Yes,Yes,,Yes,,,,,,,Yes,,,,,Yes,Yes,,Yes,Yes,,,,Tan Son Nhat International Airport
34,24,VN,VAN PHONG BAY,,,,,, 12 38 43 N ,109 11 27 E,12.633333333333333,109.18333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Nhatrang Airport
35,29,VN,VINH CAM RANH,,,,,,11 53 N,109 10 E,11.883333333333333,109.16666666666669,,,Yes,161.0,93446.0,No,Yes,Small,Good,over 500 feet,Coastal Natural,,,No,,No,26 - 30 ft,16 - 20 ft,2.0,56 - 60 ft,41 - 45 ft,Yes,Yes,Yes,,,,Yes,,,Yes,,,,,Yes,,,,,Yes,,,,,Cam Ranh International Airport
36,25,VN,VUNG TAU,,,,,, 10 21 24 N ,107 3 50 E,10.35,107.05,,,Yes,161.0,93404.0,,Yes,Small,Fair,over 500 feet,River Natural,Yes,Yes,No,Yes,No,26 - 30 ft,26 - 30 ft,1.0,41 - 45 ft,46 - 51 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Limited,,Up to 656 ft,Tan Son Nhat International Airport
