,Unnamed: 0,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
10,31,TH,KO SI CHANG TERMINAL,,,,,,13 10 N,100 49 E,13.166666666666664,100.81666666666666,,,No,161.0,93244,No,Yes,Very Small,Fair,less than 500 feet,Open Roadstead,No,Yes,No,Yes,No,76 - over ft,36 - 40 ft,1.0,51 - 55 ft,51 - 55 ft,Yes,Yes,Yes,,,,Yes,Yes,,,,,,,,,,Yes,Yes,Yes,,Limited,,,Suvarnabhumi International Airport
11,9,TH,KOH SICHANG,,,,,, 13 10 0 N ,100 47 60 E,13.166666666666664,100.78333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Suvarnabhumi International Airport
12,10,TH,KOHSICHANG TPP,,,,,, 13 7 59 N ,100 49 0 E,13.116666666666667,100.81666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Rayong U Tapao Rayong Pattaya Airport
13,11,TH,KRABI, Harbour Department of Thailand ,Krabi Thailand, 2 233 1311 , 2 236 7248 ,, 8 4 0 N ,98 43 59 E,8.066666666666666,98.71666666666668," Pier, Jetty or Wharf ", Small ,Yes,174.0,71040,Yes,Yes, Very Small , Good ,less than 500 feet, River Natural ,,,No,No,No,11 - 15 ft,36 - 40 ft,0.0,11 - 15 ft,36 - 40 ft,,No,,,Yes,,Yes,Yes,,,,,,,,,Yes,No,,Yes,No,None,,,Krabi Airport
14,12,TH,LAEM CHABANG, Port Authority of Thailand ,444 Tarua Road Klongtoey Bangkok 10110 Thailand, 2269-3000 , 2672-7156 , patonline@port.co.th , 13 4 59 N ,100 52 59 E,13.066666666666665,100.86666666666666, Seaport , Large ,Yes,161.0,93244,,Yes, Small , Fair , Over 500 feet in length , Coastal Natural ,,Yes,,,,41 - 45 ft,36 - 40 ft,3.0,46 - 50 ft,76 - over ft,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,Yes,,Limited,Up to 200 tons,657 ft to 984 ft,Rayong U Tapao Rayong Pattaya Airport
15,13,TH,LAT KRABANG,,,,,, 13 37 6 N ,100 33 8 E,13.616666666666667,100.55,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Suvarnabhumi International Airport
16,14,TH,MAB TAPUD,,,,,, 12 40 21 N ,101 11 9 E,12.666666666666664,101.18333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Rayong U Tapao Rayong Pattaya Airport
17,15,TH,MAP TA PHUT,,,,,, 12 40 26 N ,101 9 55 E,12.666666666666664,101.15,,,Yes,161.0,93260,,,Very Small,Fair,over 500 feet,Coastal Breakwater,Yes,,,,,31 - 35 ft,41 - 45 ft,2.0,,16 - 20 ft,Yes,Yes,Yes,,No,Yes,,Yes,,Yes,Yes,,,Yes,,Yes,Yes,Yes,,Yes,,,,,Rayong U Tapao Rayong Pattaya Airport
18,16,TH,PAKNAM,,,,,, 13 36 22 N ,100 35 6 E,13.6,100.58333333333331,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Suvarnabhumi International Airport
19,17,TH,PATTANI,,,,,, 6 52 25 N ,101 20 57 E,6.866666666666667,101.33333333333331,,,Yes,161.0,93180,,Yes,Small,Fair,,Coastal Natural,,,,,,6 - 10 ft,16 - 20 ft,0.0,31 - 35 ft,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,Limited,Up to 200 tons,,Pattani Airport
20,18,TH,PETCHBURI TERMINAL,,,,,, 13 6 59 N ,100 2 44 E,13.1,100.03333333333332,,,,161.0,93240,,Yes,Very Small,Poor,less than 500 feet,Open Roadstead,,,,,,,36 - 40 ft,0.0,56 - 60 ft,,,,,,,Yes,,,,,,,,,,,,,,,,Limited,Up to 200 tons,,Hua Hin Airport
21,27,TH,PHUKET,,,,,,7 50 N,98 24 E,7.833333333333332,98.4,,,,174.0,71043/2,,Yes,Small,Good,less than 500 feet,Open Roadstead,Yes,,,No,Yes,26 - 30 ft,31 - 35 ft,3.0,21 - 25 ft,21 - 25 ft,Yes,Yes,Yes,No,,No,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Limited,,Up to 656 ft,Phuket International Airport
22,19,TH,PRACHUAP PORT,,,,,, 11 11 53 N ,99 33 51 E,11.183333333333335,99.55,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Chumphon Airport
23,20,TH,RAYONG TPI TERMINAL,,,,,, 12 38 55 N ,101 18 19 E,12.633333333333333,101.3,,,,161.0,93260,,Yes,Very Small,Poor,less than 500 feet,Open Roadstead,Yes,,,No,,61 - 65 ft,46 - 51 ft,0.0,16 - 20 ft,16 - 20 ft,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,,,Yes,Yes,Yes,,Yes,,,,,Rayong U Tapao Rayong Pattaya Airport
24,21,TH,SAMUT PRAKAN,,,,,, 13 21 35 N ,100 21 36 E,13.35,100.35,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Suvarnabhumi International Airport
25,22,TH,SATTAHIP, Royal Thai Navy ,"Sattahip Naval Base2002/1 Moo.2 Plutaluang Sattahip, Chonburi 20180 Thailand", 66 38 431349 , 66 38 431261 ,, 12 40 2 N ,100 53 51 E,12.666666666666664,100.88333333333334, Seaport , Medium ,,161.0,93248,,,Medium,Poor,,Coastal Breakwater,,,,,,26 - 30 ft,26 - 30 ft,0.0,76 - over ft,36 - 40 ft,Yes,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,,,Rayong U Tapao Rayong Pattaya Airport
26,29,TH,SI RACHA,,,,,,13 10 N,100 55 E,13.166666666666664,100.91666666666669,,,,161.0,57460,,Yes,Medium,Fair,over 500 feet,Open Roadstead,Yes,Yes,,Yes,,46 - 51 ft,41 - 45 ft,2.0,71 - 75 ft,,Yes,Yes,Yes,,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Limited,,,Rayong U Tapao Rayong Pattaya Airport
27,30,TH,SI RACHA TERMINAL,,,,,,13 7 N,100 53 E,13.116666666666667,100.88333333333334,,,Yes,161.0,93244,No,Yes,Very Small,Poor,less than 500 feet,Open Roadstead,Yes,Yes,No,,No,46 - 51 ft,46 - 51 ft,2.0,71 - 75 ft,46 - 51 ft,Yes,Yes,Yes,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,Limited,,,Rayong U Tapao Rayong Pattaya Airport
28,23,TH,SIAM SEAPORT,,,,,, 13 8 37 N ,100 54 38 E,13.133333333333333,100.9,,,,161.0,93244,,Yes,Very Small,Fair,over 500 feet,Open Roadstead,,,,,,46 - 51 ft,46 - 51 ft,3.0,16 - 20 ft,,Yes,Yes,Yes,,Yes,Yes,,Yes,,,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,,Limited,,,Rayong U Tapao Rayong Pattaya Airport
29,24,TH,SIRACHA, Sriracha Harbour Plc ,"31/4 Moo 4, Surasak Sriracha, Chonburi 20110 Thailand", 66 38 773069 , 66 38 773082 ,, 13 10 29 N ,100 55 36 E,13.166666666666664,100.91666666666669, Seaport , Small ,,,,,Yes, Small , Fair , Over 500 feet in length , Coastal Natural ,,Yes,,,,,41 - 45 ft,,71 - 75 ft,,,,,,Yes,,,,,,Yes,,Yes,Yes,,,Yes,Yes,,Yes,, Limited ,,,Rayong U Tapao Rayong Pattaya Airport
30,25,TH,SONGKHLA, Marine Department of Thailand ,"1278 Yotha Road Taladnoi, Samphanthawong Bangkok 10100 Thailand", 2233-1311 , 2236-7248 , marine@md.go.th , 7 14 20 N ,100 32 58 E,7.233333333333332,100.53333333333332, Seaport , Small ,Yes,,,No,Yes, Very Small , Fair , Over 500 feet in length , River Natural ,Yes,,No,,No,26 - 30 ft,31 - 35 ft,1.0,31 - 35 ft,16 - 20 ft,Yes,Yes,Yes,,,Yes,,,,,,Yes,,Yes,,Yes,Yes,Yes,,Yes,, Limited ,Up to 200 tons,,Songkhla Airport
31,26,TH,TANTAWAN MARINE TERMINAL,,,,,, 10 4 59 N ,101 24 59 E,10.066666666666666,101.4,,,,161.0,,,Yes,Very Small,Poor,less than 500 feet,Open Roadstead,,,,,,,,1.0,76 - over ft,76 - over ft,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,,,Yes,,No,,No,,Limited,,,Surat Thani Airport
