,Unnamed: 0,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
10,72,DE,BRUNSBUTTEL ELBAHAFEN,,,,,,53 53 N,9 10 E,53.88333333333333,9.166666666666666,,,Yes,192.0,37228.0,No,Yes,Very Small,Fair,over 500 feet,River Natural,Yes,,No,No,No,41 - 45 ft,41 - 45 ft,5.0,36 - 40 ft,46 - 51 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,Up to 200 tons,,Heide Busum Airport
11,8,DE,BUSUM, Busum Harbourmaster Office ,Am Fischereihafen Busum 25761 Germany, 49 483 43607 , 49 483 493 6383 , hafen.buesum@alr-husum.landsh.de , 54 7 59 N ,8 52 0 E,54.11666666666667,8.866666666666667, Harbor , Small ,,192.0,37165.0,,Yes,Very Small,Fair,less than 500 feet,Coastal Natural,,,,Yes,,21 - 25 ft,6 - 10 ft,3.0,6 - 10 ft,,No,Yes,Yes,,Yes,,Yes,,,,,,,,,,,,,Yes,Yes,Limited,Up to 200 tons,,Heide Busum Airport
12,9,DE,BUTZFLETH,,Butzfleth Germany,,,, 53 39 29 N ,9 29 50 E,53.65,9.483333333333333, River Port , Small ,,192.0,37229.0,,Yes,Small,Good,less than 500 feet,Open Roadstead,,,,,,41 - 45 ft,46 - 51 ft,3.0,21 - 25 ft,31 - 35 ft,Yes,,Yes,,,Yes,Yes,,,,,,,,,Yes,,Yes,,Yes,Yes,Limited,Up to 200 tons,,Uetersen Airport
13,10,DE,COLOGNE,,,,,, 50 54 35 N ,6 58 19 E,50.9,6.966666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Leverkusen Airport
14,11,DE,CUXHAVEN, CuxPort GmbH ,Neufelder Schanze 4 Cuxhaven D-27472 Germany, +49-4721-748-0 , +49-4721-748-122 , info@cuxport.de , 53 51 42 N ,8 42 9 E,53.85,8.7, Harbor , Small ,Yes,192.0,37226.0,No,Yes, Medium , Fair , Over 500 feet in length , River Natural ,,,No,,No,46 - 50 ft,26 - 30 ft,9.0,16 - 20 ft,,No,Yes,Yes,,Yes,Yes,Yes,,,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes, Moderate ,"201 to 1,000 tons",,Nordholz Airport
15,12,DE,DORTMUND,,,,,, 51 31 20 N ,7 25 36 E,51.51666666666666,7.416666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Dortmund Airport
16,13,DE,DUISBURG, Duisburger Hafen AG ,Alte Ruhrorter Str. 42 -52 Duisburg 47119 Germany, 49 0 203-803-1 , 49 0 203-803-232 , mail@duisport.de , 51 25 48 N ,6 43 26 E,51.41666666666666,6.716666666666668, River Port , Large ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krefeld Egelsberg Airport
17,14,DE,DUSSELDORF, GmbH and Co. KG ,Hammer Landstrasse 3 Neuss 41460 Germany, 49 2131 53230 , 49 213 1532 3105 , info@nd-haefen.de , 51 13 0 N ,6 46 59 E,51.21666666666667,6.7666666666666675, River Port , Medium ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duesseldorf Airport
18,15,DE,ECKERNFORDE, Stadtwerke Eckernforde GmbH ,Bornbrook 1 Eckernforde 24340 Germany, 49 4351 9050 , 49 4351 905199 , g.hammer@stadtwerke-eckernfoerde.de , 54 28 59 N ,9 50 60 E,54.46666666666667,9.833333333333334, Harbor , Small ,,194.0,44065.0,No,Yes, Small , Good , Up to 500 feet in length , River Basin ,,,No,Yes,No,21 - 25 ft,16 - 20 ft,1.0, 56 - 60 feet 17.1 - 18.2 meters ,,No,Yes,No,No,,Yes,,,,,,,No,No,No,,,,,Yes,Yes, None ,,,Schleswig Kropp Airport
19,16,DE,ELSFLETH, Stadt Elsfleth ,Postfach 240 Elsfleth 26926 Germany,,,, 53 8 24 N ,8 16 47 E,53.13333333333333,8.266666666666667, River Port , Small ,Yes,192.0,37235.0,No,Yes, Very Small , Good ,, River Tide Gate ,,,Yes,Yes,No,11 - 15 ft,16 - 20 ft,9.0,,,Yes,Yes,Yes,,,Yes,Yes,,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes, Limited ,Up to 200 tons,Up to 656 ft,Oldenburg Hatten Airport
20,76,DE,EMDEN,,,,,,53 20 N,7 11 E,53.33333333333334,7.183333333333334,,,Yes,192.0,37224.0,No,Yes,Medium,Good,less than 500 feet,River Tide Gate,Yes,,Yes,Yes,No,26 - 30 ft,21 - 25 ft,3.0,36 - 40 ft,31 - 35 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Major,"201 to 1,000 tons",985 ft and over,Emden Airport
21,71,DE,FLENSBURG,,,,,,54 48 N,9 26 E,54.8,9.433333333333334,,,Yes,194.0,44061.0,No,Yes,Small,Good,less than 500 feet,RIVER BASIN,,,,Yes,No,16 - 20 ft,16 - 20 ft,2.0,36 - 40 ft,16 - 20 ft,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Major,Up to 200 tons,,Flensburg Schaferhaus Airport
22,17,DE,GERSHEIM,,,,,, 49 12 39 N ,8 22 54 E,49.2,8.366666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Linkenheim Airport
23,18,DE,GIESSEN,,,,,, 50 21 0 N ,8 23 24 E,50.35,8.383333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Anspach Taunus Airport
24,19,DE,GLUCKSTADT, Hafengesellschaft Brunsbuttel mbH ,Elbehafen Brunsbuettel 25541 Germany, 49 0 4852 884-0 , 49 0 4852 884-26 , info@elbehafen.de , 53 47 0 N ,9 24 52 E,53.78333333333333,9.4, Seaport , Small ,Yes,192.0,37228.0,No,, Very Small , Good , Up to 500 feet in length , River Tide Gate ,,,Yes,Yes,No, 6 - 10 feet 1.8 - 3 meters ,11 - 15 ft,3.0,21 - 25 ft,,,Yes,Yes,,,Yes,Yes,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes, Limited ,"201 to 1,000 tons",,Itzehoe Hungriger Airport
25,20,DE,HAMBURG, Port Authority of Hamburg ,Mattentwiete 2 Hamburg D -20457 Germany, +49-40 / 37 709 -0 , +49-40/37 709-109 , info@hafen-hamburg.de , 53 32 51 N ,9 58 9 E,53.53333333333333,9.966666666666667, Seaport , Very Large ,Yes,192.0,37230.0,Yes,Yes, Large , Excellent , Up to 500 feet in length , River Basin ,Yes,Yes,Yes,Yes,No,31 - 35 ft,16 - 20 ft,7.0,,41 - 45 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,"over 1,000 tons",657 ft to 984 ft,Hamburg Airport
26,21,DE,HAMBURG-HARBURG,,,,,, 53 28 23 N ,9 58 4 E,53.46666666666667,9.966666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Hamburg Airport
27,22,DE,HEIDELBERG,,,,,, 49 15 0 N ,8 25 11 E,49.25,8.416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Speyer Airport
28,23,DE,HEILIGENHAFEN, Hafenamt Heiligenhafen ,Heiligen 23774 Germany, 49 4362 900434 , 49 4362 900436 ,, 54 22 0 N ,10 58 59 E,54.36666666666667,10.966666666666667, Harbor , Small ,,194.0,44069.0,,Yes, Very Small , Good , Up to 500 feet in length , Coastal Breakwater ,,Yes,No,Yes,No,16 - 20 ft,11 - 15 ft,0.0,21 - 25 ft,,No,Yes,No,No,,Yes,Yes,,,,,,,,,Yes,Yes,Yes,,Yes,Yes, Limited ,Up to 200 tons,,Grube Airport
29,24,DE,HOLLAGE,,,,,, 52 12 35 N ,7 34 12 E,52.2,7.566666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Rheine Eschendorf Airport
30,25,DE,HOLTENAU,,Holtenau Germany,,,, 54 22 12 N ,10 9 2 E,54.36666666666667,10.15, Seaport , Medium ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiel Holtenau Airport
31,26,DE,HUSUM, Husum Port Authority ,Herzog Adolf Strasse 1 Husum 25813 Germany, 49 4841 661317 , 49 4841 661321 ,, 54 28 59 N ,9 3 0 E,54.46666666666667,9.05, Harbor , Small ,Yes,192.0,37165.0,No,Yes, Very Small , Good , Up to 500 feet in length , River Tide Gate ,Yes,Yes,Yes,Yes,No, 6 - 10 feet 1.8 - 3 meters ,11 - 15 ft,3.0,21 - 25 ft,,No,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes, Limited ,Up to 200 tons,,Husum Schwesing Airport
32,27,DE,ITZEHOE, Stadthafen Itzehoe GmbH ,Gasstrasse 18 Itzehoe 25524 Germany, 49 04821 77 40 , 49 04821 77 41 17 , info@stadtwerke-itzehoe.de , 53 55 0 N ,9 30 59 E,53.91666666666666,9.5, River Port , Small ,,192.0,37228.0,,Yes,Very Small,Fair,less than 500 feet,River Natural,,,Yes,Yes,,16 - 20 ft,6 - 10 ft,2.0,36 - 40 ft,,,Yes,No,No,,Yes,Yes,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Limited,Up to 200 tons,,Itzehoe Hungriger Airport
33,28,DE,KAPPELN, Hafenamt Kappeln ,Kappeln 24376 Germany, 49 4642 3156 , 49 4642 18328 ,, 54 40 0 N ,9 55 59 E,54.66666666666666,9.916666666666666, Harbor , Small ,,194.0,,,Yes, Very Small , Good , Up to 500 feet in length , River Natural ,,,No,Yes,No,11 - 15 ft,11 - 15 ft,0.0,31 - 35 ft,,No,Yes,Yes,,,Yes,Yes,,,,,Yes,,Yes,,Yes,,Yes,,Yes,Yes, Limited ,Up to 200 tons,,Kiel Holtenau Airport
34,29,DE,KARLSRUHE,,,,,, 49 0 59 N ,8 19 33 E,49.0,8.316666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Linkenheim Airport
35,30,DE,KEHL, Hafenverwaltung Kehl ,Korperschaft des offen Rechts Hafenstrasse 19 Kehl am Rhein 77694 Germany, 49 7851 8970 , 49 7851 89766 ,, 48 34 40 N ,7 48 18 E,48.56666666666667,7.8, River Port , Medium ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kehl Sundheim Airport
36,31,DE,KIEL, Seehafen Kiel GmbH Co. ,Kommanditgesellschaft Bollhornkai 1 Kiel 24103 Germany, 49 431 98 22-0 , 49 431 98 22-105 , info@port-of-kiel.com , 54 19 5 N ,10 8 6 E,54.31666666666667,10.133333333333333, Seaport , Medium ,Yes,194.0,44066.0,No,Yes, Medium , Good , Over 500 feet in length , River Basin ,Yes,Yes,No,Yes,No,36 - 40 ft,11 - 15 ft,0.0,31 - 35 ft,31 - 35 ft,,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes, Major ,Up to 200 tons,985 ft and over,Kiel Holtenau Airport
37,32,DE,KOBLENZ,,,,,, 50 19 59 N ,7 34 59 E,50.31666666666667,7.566666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Koblenz Winningen Airport
38,33,DE,KOLN,,,,,, 50 56 24 N ,6 57 36 E,50.93333333333333,6.95,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Leverkusen Airport
39,34,DE,KREFELD, Krefeld Port Authority ,Oberstrasse 13 Krefeld Uerdingen 47829 Germany, 49 2151 49270 , 49 2151 492750 ,, 51 21 14 N ,6 38 52 E,51.35,6.633333333333333, River Port , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krefeld Egelsberg Airport
40,35,DE,LABOE,,Laboe Germany,,,, 54 23 60 N ,10 13 0 E,54.38333333333333,10.216666666666667, Harbor , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiel Holtenau Airport
41,36,DE,LEER, Stadtwerke Leer GmbH ,Schleusenweg 16 Leer 26789 Germany, 0491 - 92770-0 , 0491 - 92770-10 , info@stadtwerke-leer.de , 53 13 2 N ,7 26 43 E,53.21666666666667,7.433333333333334, River Port , Small ,Yes,192.0,37010.0,No,Yes, Very Small , Good ,less than 500 feet, River Tide Gate ,,,Yes,Yes,No,16 - 20 ft,11 - 15 ft,2.0,26 - 30 ft,,No,Yes,,,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Limited ,Up to 200 tons,Up to 656 ft,Leer Papenburg Airport
42,37,DE,LEIPZIG,,,,,, 51 20 39 N ,12 22 14 E,51.33333333333334,12.366666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Bohlen Airport
43,38,DE,LUBECK, Lubecker Hafen-Gesellschaft mbH (LHG) ,Hauptverwaltung Postfach 22 35 Luebeck 23510 Germany, +49 (4 51) 79 00 ,, martin.schwardt@lhg-online.de , 53 52 21 N ,10 41 22 E,53.86666666666667,10.683333333333334, Seaport , Large ,Yes,194.0,44069.0,No,Yes, Medium , Good , Up to 500 feet in length , River Natural ,Yes,Yes,Yes,Yes,No,31 - 35 ft,16 - 20 ft,0.0,41 - 45 ft,16 - 20 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,"201 to 1,000 tons",Up to 656 ft,Luebeck Blankensee Airport
44,69,DE,LUBECK-TRAVEMUNDE,,,,,,53 58 N,10 53 E,53.96666666666667,10.883333333333333,,,No,194.0,44069.0,No,Yes,Small,Good,over 500 feet,River Natural,Yes,Yes,No,,No,26 - 30 ft,31 - 35 ft,0.0,56 - 60 ft,,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,,Yes,,,,Yes,Yes,,Yes,Yes,Moderate,"201 to 1,000 tons",657 ft to 984 ft,Sierksdorf Hof Altona Airport
45,39,DE,LUDWIGSHAFEN AM RHEIN, Hafenbetriebe Ludwigshafen am Rhein GmbH ,Zollhofstrasse 4 Ludwigshafen 67061 Germany, 0621/5984-0 , 0621/5984-135 , info@hafenbetriebe-ludwigshafen.de , 49 30 0 N ,8 25 0 E,49.5,8.416666666666666, River Port , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coleman AAF Airport
46,40,DE,MAINZ, Stadtwerke Mainz AG ,Rheinallee 41 Mainz 55118 Germany, 06131 - 12 8 , 06131 - 12 78 77 , info@stadtwerke-mainz.de , 50 0 0 N ,8 16 0 E,50.0,8.266666666666667, River Port , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wiesbaden Airport
47,41,DE,MONHEIM,,,,,, 48 30 0 N ,10 30 0 E,48.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Gundelfingen Airport
48,42,DE,NESSMERSIEL,,,,,, 53 23 60 N ,7 12 36 E,53.38333333333333,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Emden Airport
49,43,DE,NEUHARLINGERSIEL,,,,,, 53 25 12 N ,7 25 11 E,53.41666666666666,7.416666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Leer Papenburg Airport
50,44,DE,NEUHAUS,,,,,, 53 48 16 N ,9 2 0 E,53.8,9.033333333333333,,,,192.0,37228.0,,Yes,Very Small,Fair,less than 500 feet,River Natural,,,,Yes,,11 - 15 ft,6 - 10 ft,0.0,36 - 40 ft,,,Yes,No,,,Yes,Yes,,,,,,,,,,,Yes,,Yes,Yes,,Up to 200 tons,,Kuhrstedt Bederkesa Airport
51,45,DE,NEUSS, GmbH and Co. KG ,Hammer Landstrasse 3 Neuss 41460 Germany, 49 2131 53230 , 49 213 1532 3105 , info@nd-haefen.de , 51 12 0 N ,6 40 59 E,51.2,6.666666666666668, River Port , Medium ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duesseldorf Airport
52,70,DE,NEUSTADT,,,,,,54 6 N,10 49 E,54.1,10.816666666666665,,,,194.0,44069.0,,Yes,Very Small,Good,less than 500 feet,River Natural,,Yes,No,Yes,No,16 - 20 ft,16 - 20 ft,0.0,16 - 20 ft,,Yes,Yes,Yes,,Yes,Yes,Yes,,,,,Yes,,,,,Yes,Yes,,Yes,Yes,Limited,Up to 200 tons,,Sierksdorf Hof Altona Airport
53,46,DE,NEUSTADT/HOLSTEIN,,,,,, 54 6 0 N ,10 49 0 E,54.1,10.816666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Sierksdorf Hof Altona Airport
54,74,DE,NORDENHAM,,,,,,53 29 N,8 29 E,53.48333333333333,8.483333333333333,,,Yes,192.0,37234.0,No,Yes,Small,Good,less than 500 feet,River Natural,Yes,,No,,No,36 - 40 ft,41 - 45 ft,4.0,26 - 30 ft,26 - 30 ft,Yes,,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Limited,Up to 200 tons,Up to 656 ft,Blexen Airport
55,47,DE,NURNBERG,,,,,, 49 27 39 N ,11 5 34 E,49.45,11.083333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Nuernberg Airport
56,48,DE,OLDENBURG, Stadt Oldenburg ,"Wirtschaftsflorderung Industriestra Be 1, Gebaude H Oldenburg 26121 Germany", 49 0441-235-3073 , 49 0441-235-3130 , hafenbuero@stadt-oldenburg.de , 53 8 60 N ,8 13 59 E,53.13333333333333,8.216666666666667, River Port , Small ,Yes,192.0,37235.0,No,Yes, Very Small , Good , Up to 500 feet in length , River Tide Gate ,,,Yes,Yes,No, 6 - 10 feet 1.8 - 3 meters ,11 - 15 ft,4.0,,,Yes,,,,,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,, Limited ,Up to 200 tons,Up to 656 ft,Oldenburg Hatten Airport
57,49,DE,OLDERSUM,,,,,, 53 3 7 N ,7 18 32 E,53.05,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Leer Papenburg Airport
58,50,DE,ORTH,,,,,, 54 27 0 N ,11 3 0 E,54.45,11.05,,,,194.0,44069.0,,,Very Small,Poor,less than 500 feet,Coastal Breakwater,,,,,,6 - 10 ft,6 - 10 ft,0.0,11 - 15 ft,,No,Yes,No,,,Yes,Yes,,,,,,,,,Yes,,Yes,,Yes,Yes,,Up to 200 tons,,Grube Airport
59,51,DE,PAPENBURG, Papenburg Port Authority ,Hauptkanal Rechts 68/69 Papenburg 26871 Germany, 49 4961 82226 , 49 4961 82315 , hafen@papenburg.de , 53 5 36 N ,7 22 24 E,53.08333333333334,7.366666666666666, River Port , Small ,Yes,192.0,37010.0,No,Yes, Small , Good , Over 500 feet in length , Lake or Canal ,,,No,Yes,No,11 - 15 ft,16 - 20 ft,4.0,16 - 20 ft,,Yes,Yes,Yes,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes, Limited ,,657 ft to 984 ft,Leer Papenburg Airport
60,52,DE,RASTATT,,,,,, 48 30 35 N ,8 7 11 E,48.5,8.116666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Offenburg Baden Airport
61,53,DE,REGENSBURG,,,,,, 49 0 32 N ,12 6 24 E,49.0,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Regensburg Oberhub Airport
62,54,DE,RENDSBURG, Stadtwerke Rendsburg ,Am Kreishafen 4 Rendsburg 24768 Germany, 49 4331 14070 , 49 4331 5336 , info@kreishhafen-rd.de , 54 17 41 N ,9 40 24 E,54.28333333333333,9.666666666666666, River Port , Small ,No,192.0,,No,Yes, Very Small , Good , Up to 500 feet in length , Lake or Canal ,,,,Yes,Yes,11 - 15 ft,16 - 20 ft,0.0,,,Yes,Yes,Yes,,,Yes,Yes,,,,,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes, Limited ,"201 to 1,000 tons",Up to 656 ft,Rendsburg Schachtholm Airport
63,55,DE,ROSTOCK, Hafen-Entwicklungsgesellschaft Rostock mbH ,Ost-West-Str. 32 Rostock D-18147 Germany, 49 381 350 0 , 49 381 350 5515 , info@rostock-port.de , 54 10 49 N ,12 5 3 E,54.16666666666666,12.083333333333336, Seaport , Medium ,Yes,194.0,44076.0,Yes,Yes, Small , Good , Over 500 feet in length , River Natural ,Yes,Yes,No,Yes,No,41 - 45 ft,16 - 20 ft,1.0,41 - 45 ft,36 - 40 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,"over 1,000 tons",Up to 656 ft,Purkshof Airport
64,56,DE,SALZGITTER,,,,,, 52 5 24 N ,10 11 23 E,52.08333333333334,10.183333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Salzgitter Schaferstuhl Airport
