,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize
10,GB,ARDRISHAIG,,,,,, 56 0 33 N ,-5 25 0 W,56.0,-5.416666666666667,,,Yes,141.0,36017,No,Yes,Very Small,Fair,less than 500 feet,Coastal Natural,Yes,Yes,No,Yes,No,21 - 25 ft,6 - 10 ft,2,21 - 25 ft,,No,No,No,No,,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Moderate,,
11,GB,AVONMOUTH,,,,,, 51 30 0 N ,-2 43 0 W,51.5,-2.716666666666667,,,Yes,142.0,,,Yes,Small,Excellent,less than 500 feet,River Tide Gate,Yes,Yes,Yes,Yes,No,21 - 25 ft,26 - 30 ft,9,31 - 35 ft,31 - 35 ft,Yes,Yes,Yes,,,Yes,Yes,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Major,Up to 200 tons,985 ft and over
12,GB,AYR, Associated British Ports ,"A B P Ayr Port Office North Harbour Street Ayr, Scotland K A8 8 A H United Kingdom", 01292 281 687 , 01292 287 787 , scresswell@abports.co.uk , 55 27 57 N ,-4 38 3 W,55.45,-4.634166666666666, Seaport , Small ,Yes,141.0,36016,No,Yes, Very Small , Good , Up to 500 feet in length , River Basin ,,,No,Yes,No,16 - 20 ft,16 - 20 ft,2,21 - 25 ft,16 - 20 ft,Yes,,Yes,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes, Moderate ,"over 1,000 tons",
13,GB,BANFF, Aberdeenshire Council ,"Harbour Offices Quayside Banff, Banffshire United Kingdom", 01261 815544 , 01261 815544 ,, 57 40 0 N ,-2 31 0 W,57.666666666666664,-2.5166666666666666, Harbor , Small ,No,,,No,, Very Small , Poor ,, Coastal Breakwater ,,,Yes,,Yes,11 - 15 ft, 6 - 10 feet 1.8 - 3 meters ,8,36 - 40 ft,,,Yes,,,,Yes,,,,,,,,,,,Yes,,,Yes,, Limited ,Up to 200 tons,
14,GB,BARMOUTH,,,,,, 52 43 0 N ,-4 2 60 W,52.71666666666667,-4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
15,GB,BARNES,,,,,, 51 16 12 N ,-1 8 23 W,51.266666666666666,-1.1397222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
16,GB,BATHGATE,,,,,, 55 32 24 N ,-3 22 47 W,55.53333333333333,-3.379722222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
17,GB,BEDLINGTON,,,,,, 55 4 11 N ,-1 21 0 W,55.06666666666667,-1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
18,GB,BELFAST, Belfast Harbour Commissioners ,"Harbour Office Corporation Square Belfast, Northern Ireland B T1 3 A L United Kingdom", 44 28 9055 4422 , 44 28 9055 4411 , info@belfast-harbour.co.uk , 54 36 53 N ,-5 54 32 W,54.6,-5.908888888888889, Seaport , Medium ,Yes,142.0,36011,Yes,Yes, Large , Excellent , Over 500 feet in length , River Basin ,Yes,Yes,No,,No,21 - 25 ft,31 - 35 ft,2,31 - 35 ft,31 - 35 ft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,Up to 200 tons,985 ft and over
19,GB,BERWICK-UPON-TWEED,,,,,, 55 46 0 N ,-2 0 0 W,55.766666666666666,-2.0,,,Yes,192.0,35010,No,Yes,Very Small,Good,less than 500 feet,River Tide Gate,,Yes,Yes,Yes,No,6 - 10 ft,16 - 20 ft,4,41 - 45 ft,,Yes,Yes,,,,Yes,,,,,,Yes,,Yes,,Yes,,Yes,Yes,Yes,Yes,Moderate,Up to 200 tons,
20,GB,BIDEFORD, Torridge District Council ,Harbour Office Bideford E X39 2 A G United Kingdom, 44 79673 33725 , 44 123 747 5834 ,, 51 0 7 N ,-4 11 54 W,51.0,-4.198333333333333, Harbor , Small ,Yes,142.0,,No,Yes, Small , Good , Up to 500 feet in length , River Natural ,,,Yes,Yes,Yes,21 - 25 ft,16 - 20 ft,5,21 - 25 ft,11 - 15 ft,Yes,Yes,Yes,No,,,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes, Major ,,Up to 656 ft
21,GB,BIRD PORT,,,,,, 51 33 56 N ,-2 58 44 W,51.55,-2.978888888888889,,,,192.0,36042,,Yes,Very Small,Poor,less than 500 feet,River Natural,,,Yes,Yes,,6 - 10 ft,31 - 35 ft,6,16 - 20 ft,,,,,,,Yes,Yes,,,,,Yes,,Yes,,,Yes,Yes,,Yes,Yes,Limited,Up to 200 tons,
22,GB,BIRMINGHAM,,,,,, 52 16 48 N ,-1 33 0 W,52.266666666666666,-1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
23,GB,BIRTLEY,,,,,, 52 10 48 N ,-2 32 60 W,52.166666666666664,-2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
24,GB,BLYTH, Blyth Port Authority ,"South Harbour Blyth, Northumberland N E24 3 P B United Kingdom", 44 1670 352066 , 44 1670 368540 , enquiries@blythport.co.uk , 55 6 57 N ,-1 29 38 W,55.1,-1.493888888888889, Seaport , Small ,Yes,192.0,,No,Yes, Medium , Good , Over 500 feet in length , River Natural ,,,Yes,,No,26 - 30 ft,16 - 20 ft,3, 56 - 60 feet 17.1 - 18.2 meters ,,No,Yes,Yes,,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes, Moderate ,,Up to 656 ft
25,GB,BOLTON,,,,,, 53 21 0 N ,-2 15 35 W,53.35,-2.2597222222222224,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
26,GB,BOSTON, Victoria Group ,Boston Lincolnshire P E21 6 B N United Kingdom, 44 0 1205 365571 , 44 0 1205 310126 , administrator@portofboston.co.uk , 52 58 0 N ,-0 1 0 W,52.96666666666667,-0.016666666666666666, River Port , Small ,Yes,192.0,,No,Yes, Small , Excellent ,, River Tide Gate ,,Yes,Yes,Yes,No,16 - 20 ft,16 - 20 ft,14,16 - 20 ft,21 - 25 ft,Yes,Yes,Yes,,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes, Limited ,Up to 200 tons,
27,GB,BRAEFOOT BAY,,,,,, 56 2 44 N ,-3 18 29 W,56.03333333333333,-3.3080555555555553,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
28,GB,BRANDON,,,,,, 54 27 0 N ,-1 22 12 W,54.45,-1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
29,GB,BRIDGWATER, Sedgemoor District Council ,Bridgwater House King Square Bridgwater T A6 3 A R United Kingdom, 44 845 408 2540 ,,, 51 10 0 N ,-3 0 0 W,51.166666666666664,-3.0, River Port , Small ,Yes,142.0,36039,No,Yes,Very Small,Good,less than 500 feet,River Natural,,Yes,Yes,Yes,No,6 - 10 ft,31 - 35 ft,9,21 - 25 ft,,Yes,Yes,No,No,,Yes,Yes,,,,,Yes,,Yes,,,,Yes,,Yes,Yes,Moderate,,Up to 656 ft
30,GB,BRIDLINGTON, Bridlington Harbour Commission ,"Gummers Wharf West End Bridlington, East Yorkshire Y O15 3 A N United Kingdom", 44 1262 670148 , 44 1262 602041 ,, 54 4 23 N ,-0 11 49 W,54.06666666666667,-0.19694444444444442, Harbor , Small ,Yes,192.0,37059,No,Yes, Very Small , Good , Up to 500 feet in length , Coastal Breakwater ,,Yes,Yes,,No, 6 - 10 feet 1.8 - 3 meters ,11 - 15 ft,5,31 - 35 ft,,No,No,No,No,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes, Limited ,Up to 200 tons,
31,GB,BRIERLEY HILL,,,,,, 52 17 24 N ,-2 4 11 W,52.28333333333333,-2.0697222222222225,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
32,GB,BRIGHTLINGSEA, Brightlingsea Harbour Commissioners ,"4 Copperas Road Brightlingsea, Essex C O7 0 A P United Kingdom", 44 1206 302200 , 44 1206 308533 ,, 51 48 22 N ,1 0 59 E,51.8,1.0, Harbor , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,GB,BRISTOL, The Bristol Port Company ,St Andrews House St Andrews Road Avonmouth B S11 9 D Q United Kingdom, 44 0 117 982 0000 , 44 0 117 982 0698 , enquiries@bristolport.co.uk , 51 27 15 N ,-2 35 22 W,51.45,-2.5894444444444447, Seaport , Small ,Yes,142.0,,,Yes, Small , Excellent , Over 500 feet in length , River Tide Gate ,Yes,Yes,Yes,Yes,No,31 - 35 ft,31 - 35 ft,9,31 - 35 ft,31 - 35 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,Up to 200 tons,985 ft and over
34,GB,BRYN,,,,,, 51 21 35 N ,-3 25 11 W,51.35,-3.419722222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
35,GB,BUCKIE, The Moray Council ,"Harbour Office286 Commercial Road Buckie, Grampian I V30 5 U A United Kingdom", 44 1542 831700 , 44 1542 834742 ,, 57 40 59 N ,-2 57 0 W,57.666666666666664,-2.95, Harbor , Small ,No,,,No,Yes, Very Small , Good , Up to 500 feet in length , Coastal Natural ,No,Yes,Yes,,No, 6 - 10 feet 1.8 - 3 meters ,16 - 20 ft,8,26 - 30 ft,,No,Yes,,,,Yes,,,,,,Yes,Yes,,,,Yes,Yes,,Yes,, Moderate ,"201 to 1,000 tons",
36,GB,BUDE,,,,,, 50 49 59 N ,-4 32 60 W,50.81666666666667,-4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
37,GB,BURGHEAD, The Moray Council ,"Harbour Office Burghead, Grampian I V30 5 U A United Kingdom", IV30 5UA , 44 1343 835337 ,, 57 42 0 N ,-3 28 59 W,57.7,-3.4830555555555556, Harbor , Small ,No,141.0,35052,No,Yes, Very Small , Good , Up to 500 feet in length , Coastal Natural ,,,,,Yes,11 - 15 ft,11 - 15 ft,3,36 - 40 ft,,Yes,Yes,No,No,,Yes,,,,Yes,Yes,Yes,,Yes,,,Yes,Yes,,Yes,, Limited ,Up to 200 tons,
38,GB,BURNTISLAND, Forth Ports PLC ,"Carron House Central Dock Road Grangemouth, Stirlingshire F K3 8 T Y United Kingdom", 44 1324 668400 ,, alan.burns@forthports.co.uk , 56 3 35 N ,-3 14 9 W,56.05,-3.2358333333333333, Seaport , Medium ,Yes,192.0,35037,No,Yes, Small , Good , Up to 500 feet in length , Coastal Tide Gate ,,,Yes,Yes,No, 0 - 5 feet 0 - 1.5 meters ,21 - 25 ft,4,51 - 55 ft,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes, Moderate ,Up to 200 tons,
39,GB,CAERNARFON, Caernarfon Harbour Trust ,"Harbour Office Slate Quay Caernarfon, Gwynedd L L55 2 P B United Kingdom", 01286 672118 , 01286 678729 , enquiries@caernarfonharbour.co.uk , 53 8 60 N ,-4 16 0 W,53.13333333333333,-4.266666666666667, Harbor , Small ,No,,,Yes,Yes, Small , Good ,, River Basin ,,,Yes,Yes,No, 0 - 5 feet 0 - 1.5 meters ,11 - 15 ft,5,16 - 20 ft,11 - 15 ft,Yes,Yes,,No,,Yes,,,,,,Yes,Yes,,,,Yes,Yes,,Yes,Yes, Limited ,"201 to 1,000 tons",
40,GB,CAERPHILLY,,,,,, 51 21 0 N ,-3 7 47 W,51.35,-3.129722222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
41,GB,CAIRNRYAN,,,,,, 54 58 11 N ,-5 0 40 W,54.96666666666667,-5.011111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
42,GB,CALEDONIAN CANAL,,,,,, 57 10 0 N ,-4 40 0 W,57.166666666666664,-4.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
43,GB,CAMBUS,,,,,, 56 4 11 N ,-3 30 0 W,56.06666666666667,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
44,GB,CARDIFF, Associated British Ports ,"Queen Alexandra House Cargo Road Cardiff, South Wales C F10 4 L Y United Kingdom", 0870 609 6699 , 029 2083 5001 , ccouper@abports.co.uk , 51 28 45 N ,-3 11 5 W,51.46666666666667,-3.1847222222222222, Seaport , Medium ,Yes,142.0,,Yes,Yes, Large , Excellent , Over 500 feet in length , Coastal Tide Gate ,Yes,Yes,Yes,Yes,Yes, 0 - 5 feet 0 - 1.5 meters ,31 - 35 ft,13,31 - 35 ft,26 - 30 ft,No,Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Major ,Up to 200 tons,Up to 656 ft
45,GB,CARNLOUGH,,,,,, 54 59 38 N ,-5 59 25 W,54.983333333333334,-5.990277777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
46,GB,CASTLE BAY, Comhairle Nan Eilean Siar ,"Balivanich, Isle of Benbecula H S7 5 L A United Kingdom", 44 1870 602425 , 44 1870 602988 , harbourmaster@cne-siar.gov.uk , 56 57 0 N ,-7 30 0 W,56.95,-7.5, Harbor , Small ,No,141.0,35093,No,, Very Small , Good ,, Coastal Natural ,,Yes,No,,No,21 - 25 ft,11 - 15 ft,2,26 - 30 ft,,No,No,,,,,,,,,,,,No,,,Yes,Yes,,Yes,, Emergency Only ,,
47,GB,CHARLESTON,,,,,, 50 19 59 N ,-4 45 0 W,50.31666666666667,-4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
48,GB,CHARLESTOWN,,,,,, 50 19 59 N ,-4 45 0 W,50.31666666666667,-4.75,,,Yes,191.0,37003,,Yes,Very Small,Good,less than 500 feet,Coastal Tide Gate,,Yes,Yes,,No,,16 - 20 ft,4,31 - 35 ft,,Yes,Yes,No,No,,Yes,,,,,Yes,Yes,,Yes,,,Yes,Yes,,Yes,Yes,Limited,,
49,GB,COATBRIDGE,,,,,, 55 31 12 N ,-4 1 11 W,55.516666666666666,-4.019722222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
50,GB,COLCHESTER, Colchester Borough Council ,"Harbour Office Walter Radcliffe Way Wivenhoe, Colchester, Essex C O7 9 J R United Kingdom", 44 1206 827316 , 44 1206 827023 ,, 51 53 45 N ,0 53 32 E,51.88333333333333,0.8833333333333333, River Port , Small ,Yes,192.0,37010,No,Yes, Very Small , Good , Up to 500 feet in length , River Natural ,,,No,,No,11 - 15 ft,,3,16 - 20 ft,,Yes,Yes,Yes,No,,Yes,,,,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes, Limited ,Up to 200 tons,
51,GB,COLERAINE, Coleraine Harbour Commissioners ,"4 Riversdale Road Coleraine, Londonderry B T52 1 X A United Kingdom", 44 28 7034 2012 , 44 28 7035 2000 ,, 55 10 0 N ,-6 46 0 W,55.166666666666664,-6.766666666666667, River Port , Small ,,142.0,,,Yes, Very Small , Excellent , Up to 500 feet in length , River Natural ,,,No,Yes,No,11 - 15 ft,11 - 15 ft,2,11 - 15 ft,,Yes,Yes,,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes, Limited ,,
52,GB,CONWY,,,,,, 53 16 59 N ,-3 49 59 W,53.266666666666666,-3.833055555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
53,GB,CORPACH,,,,,, 56 49 0 N ,-5 7 0 W,56.81666666666667,-5.116666666666666,,,,141.0,,No,Yes,Small,Fair,,Coastal Natural,,,Yes,Yes,No,16 - 20 ft,36 - 40 ft,4,56 - 60 ft,,No,Yes,,,,Yes,Yes,Yes,,,,,,,,Yes,,Yes,,Yes,Yes,Limited,"over 1,000 tons",
54,GB,COVENTRY,,,,,, 52 15 0 N ,-1 19 48 W,52.25,-1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
55,GB,COWES, Cowes Harbour Commission ,"Harbour Office Town Quay Cowes, Isle of Wight PO31 7 A S United Kingdom", 01983 293952 , 01983 299357 , chc@cowes.co.uk , 50 45 0 N ,-1 18 0 W,50.75,-1.3, Seaport , Medium ,No,,,No,Yes, Small , Good , Up to 500 feet in length , River Natural ,Yes,Yes,Yes,Yes,Yes, 6 - 10 feet 1.8 - 3 meters , 6 - 10 feet 1.8 - 3 meters ,3,31 - 35 ft, 6 - 10 feet 1.8 - 3 meters ,Yes,Yes,Yes,No,Yes,Yes,,,,Yes,Yes,Yes,,Yes,,,Yes,Yes,,Yes,Yes, Limited ,"201 to 1,000 tons",
56,GB,CREEKSEA,,,,,, 51 37 0 N ,0 48 0 E,51.61666666666667,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
57,GB,CRINAN CANAL,,,,,, 56 4 49 N ,-5 32 2 W,56.06666666666667,-5.533888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
58,GB,CROYDON,,,,,, 51 13 47 N ,-0 3 35 W,51.21666666666667,-0.059722222222222225,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
59,GB,DAGENHAM,,,,,, 51 27 0 N ,-0 22 0 W,51.45,-0.36666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
60,GB,DARTFORD,,,,,, 51 27 0 N ,0 16 0 E,51.45,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
61,GB,DEVONPORT,,,,,, 50 13 11 N ,-4 6 36 W,50.21666666666667,-4.109999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
62,GB,DEWSBURY,,,,,, 53 25 12 N ,-1 22 12 W,53.416666666666664,-1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
63,GB,DINGLE,,,,,, 53 22 0 N ,-2 28 0 W,53.36666666666667,-2.466666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
64,GB,DOVER STRAIT,,,,,, 51 7 59 N ,1 19 59 E,51.11666666666667,1.3166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
65,GB,DUMBARTON,,,,,, 55 34 11 N ,-4 20 23 W,55.56666666666667,-4.339722222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
66,GB,DUNBAR,,,,,, 56 0 0 N ,-2 18 35 W,56.0,-2.3097222222222222,,,Yes,192.0,35035,No,Yes,Very Small,Fair,less than 500 feet,Coastal Breakwater,,,Yes,,Yes,11 - 15 ft,16 - 20 ft,3,41 - 45 ft,26 - 30 ft,No,No,No,No,,Yes,,,,,,,No,No,No,,,Yes,,Yes,Yes,Limited,,
67,GB,DUNDEE, Forth Ports PLC ,Harbour Chambers Dock Street Dundee D D1 3 H W United Kingdom, 44 1382 224121 , 44 1382 200834 , matt.north@forthports.co.uk , 56 27 46 N ,-2 56 59 W,56.45,-2.9497222222222224, Seaport , Medium ,Yes,141.0,,No,Yes, Large , Excellent , Over 500 feet in length , River Tide Gate ,,,Yes,Yes,No,21 - 25 ft,26 - 30 ft,4,26 - 30 ft,26 - 30 ft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes, Major ,,Up to 656 ft
68,GB,DUNOON,,,,,, 55 57 9 N ,-4 55 37 W,55.95,-4.926944444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
69,GB,EXETER,,,,,, 50 25 12 N ,-3 19 11 W,50.416666666666664,-3.319722222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
70,GB,EXMOUTH, Port Authority of Exmouth ,Exmouth Dock Co Exmouth United Kingdom,,,, 50 21 0 N ,-3 14 24 W,50.35,-3.24, Harbor , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,GB,FALMOUTH, Falmouth Harbour Commissioners ,"44 Arwenack Street Falmouth, Cornwall T R11 3 J Q United Kingdom", 44 1326 312285 , 44 1326 211352 , info@falmouthport.co.uk , 50 9 1 N ,-5 3 20 W,50.15,-5.055555555555555, Seaport , Medium ,Yes,,,No,Yes, Medium , Good , Over 500 feet in length , Coastal Natural ,Yes,Yes,Yes,,No,16 - 20 ft,16 - 20 ft,5,41 - 45 ft,26 - 30 ft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes, Moderate ,,657 ft to 984 ft
72,GB,FAWLEY,,,,,, 50 50 16 N ,-1 21 19 W,50.833333333333336,-1.3552777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,
73,GB,FELIXSTOWE, Hutchison Ports (UK) Limited ,"Tomline House The Dock Felixstowe, Suffolk I P11 3 S Y United Kingdom", 44-1394-604500 , 44-1394-604949 , enquiries@fdrc.co.uk , 51 57 28 N ,1 20 40 E,51.95,1.3333333333333333, Seaport , Large ,Yes,192.0,,No,Yes, Small , Good , Over 500 feet in length , River Natural ,,,Yes,,No,46 - 50 ft,21 - 25 ft,2,36 - 40 ft,21 - 25 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes, Limited ,Up to 200 tons,
74,GB,FISHGUARD, Stena Line Ports Ltd ,"Fishguard Harbour Goodwick, Pembrokeshire S A64 0 B U United Kingdom", 44 1348 404406 , 44 1348 404446 ,, 52 0 1 N ,-4 57 56 W,52.0,-4.9655555555555555, Harbor , Small ,Yes,142.0,,No,Yes, Small , Good , Over 500 feet in length , Coastal Breakwater ,,,Yes,Yes,No,41 - 45 ft,16 - 20 ft,4,46 - 50 ft,,Yes,Yes,Yes,No,,Yes,Yes,,,,Yes,Yes,Yes,,,No,Yes,Yes,,Yes,Yes, Limited ,Up to 200 tons,
75,GB,FLEETWOOD, Associated British Ports ,"A B P Fleetwood Dock Office Lancs, Lancashire F Y7 6 P P United Kingdom", 01253 872 323 , 01253 777 549 , nridehalgh@abports.co.uk , 53 53 20 N ,-3 0 7 W,53.88333333333333,-3.0019444444444443, Seaport , Small ,Yes,142.0,36025,Yes,Yes, Small , Excellent , Up to 500 feet in length , River Tide Gate ,,Yes,Yes,Yes,No,11 - 15 ft,11 - 15 ft,8,36 - 40 ft,,Yes,Yes,Yes,,,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes, Moderate ,Up to 200 tons,
